HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Heerenveen,Twente (Enschede),2,1,38%,62%,14,20,3,8,9,11,3,2,306,499,11,17,235 (76%),401 (80%),8 (34%),4 (17%),37 (56%),38 (44%),22,22,13,7,43,9,5,4,1
Go Eagles FC Ehead,FC Emmen,2,0,46%,54%,16,13,3,5,3,5,0,1,362,486,14,2,278 (76%),385 (79%),6 (35%),2 (11%),28 (42%),31 (35%),20,19,15,14,17,17,6,5,2
Fortuna (Sittard),Excelsior,1,0,41%,59%,13,14,4,4,1,5,3,1,338,488,10,8,241 (71%),392 (80%),4 (33%),5 (18%),30 (31%),25 (39%),14,10,11,9,21,6,2,3,1
FC Waalwijk,Cambuur (Leeuwarden),5,1,72%,28%,33,15,13,5,0,1,0,16,530,144,23,3,466 (87%),76 (52%),8 (20%),0 (0%),44 (80%),18 (25%),3,10,6,7,4,52,1,10,4
Vitesse (Arnhem),FC Volendam,1,1,63%,37%,17,11,5,2,11,3,3,0,531,319,12,6,430 (80%),206 (64%),4 (14%),2 (15%),37 (41%),24 (29%),9,23,5,8,7,32,5,8,0
Sparta (Rotterdam),FC Groningen,2,1,52%,48%,1,1,1,0,5,1,4,0,432,414,7,3,340 (78%),326 (78%),4 (20%),1 (16%),51 (63%),45 (48%),16,13,7,15,12,17,1,2,1
FC Utrecht,NEC (NEC),0,0,50%,50%,17,12,3,1,6,5,1,1,479,471,16,9,372 (77%),355 (75%),9 (31%),5 (26%),30 (51%),18 (24%),26,23,13,12,19,22,3,7,0
AZ Alkmaar,Twente (Enschede),1,1,44%,56%,12,10,4,3,6,5,1,0,419,533,9,9,318 (75%),408 (76%),3 (33%),6 (27%),46 (41%),30 (26%),23,17,19,16,26,4,1,2,0
PSV (Eindhoven),FC Waalwijk,1,0,71%,29%,31,17,9,3,1,0,12,3,662,275,22,5,562 (84%),184 (66%),10 (31%),2 (18%),49 (62%),23 (25%),16,14,12,16,10,29,3,4,1
Cambuur (Leeuwarden),FC Groningen,0,1,66%,34%,14,11,3,2,6,4,2,2,496,260,10,8,406 (81%),185 (71%),9 (36%),0 (0%),57 (60%),31 (46%),18,25,9,9,10,39,2,2,-1
FC Utrecht,Vitesse (Arnhem),1,0,52%,48%,12,12,5,1,10,10,0,1,451,418,11,9,365 (80%),340 (81%),8 (24%),4 (17%),40 (51%),39 (42%),14,7,9,15,28,16,5,4,1
