HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Real Valladolid,Real Betis Balompié,0,0,59%,41%,12,3,1,3,1,1,1,1,509,356,9,3,436 (85%),282 (79%),4 (17%),0 (0%),41 (62%),21 (40%),16,24,7,5,17,21,1,3,0
Getafe CF,Real Madrid,0,1,34%,66%,19,11,3,4,4,4,1,2,381,740,6,16,284 (74%),666 (90%),1 (8%),2 (18%),26 (35%),34 (61%),11,13,7,7,17,13,3,2,-1
Sevilla FC,Athletic Bilbao,1,1,46%,54%,10,21,4,8,5,7,2,4,363,429,8,15,261 (71%),353 (82%),5 (29%),7 (24%),29 (36%),16 (31%),18,9,8,12,21,12,3,2,0
Atlético Madrid,Girona FC,2,1,45%,55%,13,11,4,2,8,3,0,2,505,608,9,9,433 (85%),541 (88%),3 (20%),2 (8%),26 (40%),31 (70%),18,19,15,12,21,12,3,5,1
UD Almería,Rayo Vallecano,3,1,37%,63%,10,12,0,2,7,6,4,4,261,453,9,10,175 (67%),379 (83%),4 (23%),4 (13%),26 (27%),30 (46%),31,18,2,8,25,15,3,1,2
CA Osasuna,València CF,1,2,45%,55%,11,15,1,2,7,5,1,2,318,396,7,9,225 (70%),301 (76%),6 (42%),5 (27%),48 (47%),37 (44%),14,19,14,7,16,16,5,1,-1
Real Madrid,CA Osasuna,1,1,64%,36%,22,9,0,10,2,4,0,1,605,350,17,6,550 (90%),281 (80%),9 (29%),2 (25%),23 (69%),33 (44%),6,14,8,9,7,27,1,3,0
Girona FC,Real Sociedad,3,5,40%,60%,16,11,3,1,2,2,0,1,316,485,12,6,246 (77%),412 (84%),7 (41%),3 (37%),17 (30%),25 (40%),15,24,15,4,11,14,0,5,-2
Celta de Vigo,Real Betis Balompié,1,0,46%,54%,11,2,2,5,3,3,1,4,368,435,6,8,302 (82%),357 (82%),4 (28%),3 (16%),27 (40%),50 (53%),20,17,11,9,16,17,4,3,1
Royal Espanyol,València CF,2,2,37%,63%,10,12,2,1,6,4,1,1,294,499,7,8,202 (68%),412 (82%),4 (25%),3 (18%),51 (46%),41 (53%),13,11,11,12,21,24,3,3,0
RCD Mallorca,FC Barcelona,0,1,28%,72%,13,11,3,2,5,5,2,1,283,770,10,9,226 (79%),715 (92%),6 (30%),3 (20%),30 (49%),27 (61%),14,11,5,6,13,9,2,3,-1
Sevilla FC,Atlético Madrid,0,2,60%,40%,14,20,3,5,5,7,2,0,629,410,12,14,556 (88%),328 (80%),6 (20%),3 (16%),32 (59%),21 (33%),13,15,10,7,22,27,4,3,-2
Getafe CF,Real Valladolid,2,3,44%,56%,14,14,5,4,0,1,4,2,320,435,12,8,245 (76%),365 (83%),6 (27%),1 (11%),35 (47%),45 (47%),17,14,2,7,15,33,4,4,-1
Cádiz CF,Villarreal CF,0,0,40%,60%,10,14,5,3,6,5,3,1,300,481,5,8,236 (78%),400 (83%),7 (31%),3 (15%),27 (42%),22 (39%),20,16,11,2,18,17,7,2,0
Athletic Bilbao,UD Almería,4,0,59%,41%,17,5,3,1,0,11,2,5,458,319,11,7,395 (86%),245 (76%),4 (16%),2 (25%),23 (48%),22 (34%),14,13,8,12,9,20,2,0,4
