HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Palermo,FC Parma,1,0,39%,61%,18,2,10,5,12,4,5,1,317,487,3,10,245 (77%),410 (84%),3 (21%),10 (34%),15 (18%),33 (44%),18,8,7,7,30,9,0,1,1
Frosinone,FC Perugia,1,0,57%,43%,12,14,2,4,4,3,1,1,527,382,9,11,423 (80%),285 (74%),3 (15%),7 (28%),64 (44%),37 (40%),11,18,10,7,23,12,2,2,1
FC Benevento,FC Bari,1,1,42%,58%,15,11,6,1,0,1,7,2,289,421,10,8,234 (80%),374 (88%),7 (29%),2 (13%),35 (57%),31 (63%),12,12,7,5,9,12,2,4,0
FC Ternana,SPAL (Ferrara),0,0,46%,54%,10,15,10,4,4,3,6,1,383,431,10,10,276 (72%),361 (83%),2 (15%),5 (21%),14 (28%),40 (57%),15,30,5,21,16,28,1,1,0
FC Cittadella,Modena FC,0,0,59%,41%,23,13,5,1,3,2,1,3,404,287,17,5,296 (73%),169 (58%),7 (30%),2 (28%),37 (33%),39 (36%),15,17,15,7,8,25,2,5,0
Sudtirol,FC Cagliari,2,2,36%,64%,17,18,5,4,0,1,1,7,334,579,10,13,241 (72%),495 (85%),4 (36%),10 (40%),42 (41%),34 (46%),14,13,12,10,19,10,4,2,0
FC Brescia,Ascoli,1,1,49%,51%,14,12,2,3,1,11,0,2,391,392,11,7,303 (77%),293 (74%),6 (42%),6 (25%),27 (38%),38 (52%),18,13,15,12,26,12,4,4,0
FC Pisa,FC Cosenza,3,1,46%,54%,15,16,4,4,5,11,1,2,344,398,11,12,244 (70%),315 (79%),4 (18%),15 (45%),38 (35%),53 (61%),13,15,9,9,22,18,3,4,2
Génova (Genova),FC Brescia,1,1,63%,37%,14,0,5,3,3,0,1,0,499,281,5,10,373 (74%),173 (61%),3 (20%),4 (23%),44 (44%),24 (27%),12,14,7,16,26,15,2,2,0
FC Cagliari,Regina (Reggio Calabria),1,1,57%,43%,10,3,2,4,7,3,2,3,409,334,9,8,325 (79%),239 (71%),4 (19%),5 (21%),43 (47%),41 (49%),16,13,9,10,23,15,3,2,0
FC Parma,FC Como.,1,0,42%,58%,10,1,3,5,6,1,6,3,286,420,5,9,194 (67%),331 (78%),3 (33%),6 (37%),33 (35%),34 (43%),13,15,6,2,14,10,3,2,1
Modena FC,FC Palermo,0,2,58%,42%,16,11,8,2,0,1,6,2,468,348,11,6,396 (84%),276 (79%),7 (24%),1 (5%),21 (51%),54 (45%),9,9,5,9,12,22,6,5,-2
SPAL (Ferrara),Sudtirol,1,1,58%,42%,14,19,4,7,7,5,1,0,523,349,14,15,464 (88%),290 (83%),6 (27%),8 (33%),61 (75%),32 (56%),18,9,8,11,14,11,3,2,0
Unione Venezia,Ascoli,0,2,58%,42%,16,2,5,2,6,2,2,4,454,346,5,6,339 (74%),245 (70%),2 (15%),3 (20%),36 (42%),27 (36%),20,11,11,20,15,17,2,2,-2
FC Benevento,FC Pisa,0,0,42%,58%,10,1,2,5,1,1,0,3,297,440,7,7,209 (70%),347 (78%),5 (17%),4 (21%),27 (33%),43 (47%),12,12,11,11,20,20,3,2,0
FC Cosenza,Frosinone,1,2,42%,58%,22,3,9,5,10,2,0,3,308,420,2,15,221 (71%),319 (75%),2 (11%),8 (29%),35 (38%),23 (33%),12,11,11,10,25,16,3,1,-1
FC Bari,FC Ternana,0,0,52%,48%,21,6,1,8,5,3,0,3,396,378,18,3,320 (80%),294 (77%),7 (31%),2 (16%),33 (45%),35 (47%),26,18,9,8,14,18,1,7,0
