HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Salernitana,Hellas Verona F. C.,2,1,40%,60%,14,12,4,4,1,6,1,3,322,457,12,9,229 (71%),370 (80%),2 (25%),4 (14%),36 (34%),27 (38%),25,13,5,5,25,8,1,2,1
Udinese Calcio,Atalanta B. C.,2,2,59%,41%,10,2,1,0,1,5,3,0,502,349,7,6,418 (83%),270 (77%),2 (16%),3 (27%),32 (52%),25 (42%),18,27,8,9,11,17,3,0,0
Torino F. C.,Empoli F. C.,1,1,66%,34%,20,11,2,1,6,1,3,1,512,267,18,5,457 (89%),191 (71%),13 (35%),1 (20%),47 (63%),32 (37%),7,6,7,2,4,23,1,6,0
Bologna FC 1909,U. C. Sampdoria,1,1,51%,49%,10,3,3,2,5,5,1,2,389,382,6,5,298 (76%),278 (72%),4 (21%),2 (10%),21 (31%),22 (30%),18,22,11,4,21,16,2,2,0
AC Milan,Juventus de Turín,2,0,40%,60%,21,10,11,7,4,9,3,1,349,547,17,9,250 (71%),463 (84%),8 (42%),2 (18%),34 (48%),33 (50%),16,15,8,11,8,15,3,1,2
US Sassuolo Calcio,Inter de Milán,1,2,52%,48%,15,16,7,3,6,5,0,1,496,450,11,14,422 (85%),389 (86%),7 (38%),8 (40%),43 (59%),36 (51%),4,17,6,5,11,21,2,2,-1
Juventus de Turín,Bologna FC 1909,3,0,48%,52%,17,4,4,2,4,1,1,0,455,491,14,6,381 (83%),414 (84%),4 (21%),3 (18%),25 (42%),27 (50%),11,13,2,9,9,18,1,3,3
Atalanta B. C.,ACF Fiorentina,1,0,38%,62%,10,16,2,4,1,5,2,0,330,541,8,14,245 (74%),454 (83%),3 (33%),12 (42%),31 (42%),44 (44%),17,23,4,6,25,13,5,4,1
U.S. Lecce,Cremonese,1,1,54%,46%,13,2,2,1,1,1,8,0,400,322,5,9,297 (74%),221 (68%),2 (15%),8 (32%),31 (46%),17 (22%),12,25,4,10,17,22,3,0,0
U. C. Sampdoria,Monza,0,3,50%,50%,13,0,3,2,4,3,5,2,396,396,2,10,294 (74%),309 (78%),5 (29%),3 (18%),16 (24%),43 (41%),13,21,6,11,16,20,3,1,-3
US Sassuolo Calcio,Salernitana,5,0,44%,56%,17,11,2,0,1,0,1,2,427,537,14,6,365 (85%),458 (85%),1 (14%),2 (9%),38 (50%),26 (46%),11,16,9,5,22,12,1,6,5
S.S. Lazio,Spezia Calcio,4,0,61%,39%,13,14,2,6,3,6,2,6,581,358,10,9,519 (89%),286 (79%),2 (16%),3 (23%),28 (57%),16 (41%),15,11,5,5,21,13,1,2,4
Empoli F. C.,AC Milan,1,3,43%,57%,16,19,7,7,3,7,2,3,280,375,8,15,201 (71%),298 (79%),5 (38%),3 (14%),33 (49%),52 (60%),19,22,12,6,26,14,3,3,-2
Inter de Milán,A. S. Roma,1,2,58%,42%,15,10,5,1,5,1,1,0,540,403,13,9,465 (86%),338 (83%),7 (35%),2 (28%),29 (50%),24 (40%),11,13,6,11,7,22,1,1,-1
S. S. C. Napoli,Torino F. C.,3,1,49%,51%,15,16,3,8,4,4,0,2,456,463,15,11,370 (81%),376 (81%),4 (57%),8 (36%),18 (30%),16 (30%),15,20,11,4,18,4,2,4,2
A. S. Roma,Atalanta B. C.,0,1,56%,44%,21,12,4,2,5,1,1,0,481,380,18,4,401 (83%),280 (73%),8 (38%),2 (25%),35 (47%),43 (46%),13,23,18,14,11,21,0,5,-1
Cremonese,S.S. Lazio,0,4,44%,56%,18,14,10,4,4,0,1,8,371,485,12,8,300 (80%),401 (82%),8 (33%),2 (28%),28 (47%),40 (55%),10,16,14,8,6,16,2,4,-4
